valid_time,power_kW
2024-01-01 00:00:00,800.0
2024-01-01 01:00:00,900.0
2024-01-01 02:00:00,1000.0
2024-01-01 03:00:00,1100.0
2024-01-01 04:00:00,1200.0
2024-01-01 05:00:00,1150.0
2024-01-01 06:00:00,1000.0
2024-01-01 07:00:00,850.0
2024-01-01 08:00:00,700.0
2024-01-01 09:00:00,600.0
2024-01-01 10:00:00,500.0
2024-01-01 11:00:00,450.0
2024-01-01 12:00:00,400.0
2024-01-01 13:00:00,450.0
2024-01-01 14:00:00,500.0
2024-01-01 15:00:00,550.0
2024-01-01 16:00:00,600.0
2024-01-01 17:00:00,700.0
2024-01-01 18:00:00,800.0
2024-01-01 19:00:00,900.0
2024-01-01 20:00:00,1000.0
2024-01-01 21:00:00,1100.0
2024-01-01 22:00:00,1150.0
2024-01-01 23:00:00,1200.0
