valid_time,power_kW
2024-01-01 00:00:00,50.0
2024-01-01 01:00:00,50.0
2024-01-01 02:00:00,50.0
2024-01-01 03:00:00,50.0
2024-01-01 04:00:00,50.0
2024-01-01 05:00:00,100.0
2024-01-01 06:00:00,300.0
2024-01-01 07:00:00,600.0
2024-01-01 08:00:00,1000.0
2024-01-01 09:00:00,1500.0
2024-01-01 10:00:00,2000.0
2024-01-01 11:00:00,2500.0
2024-01-01 12:00:00,2800.0
2024-01-01 13:00:00,3000.0
2024-01-01 14:00:00,3200.0
2024-01-01 15:00:00,3500.0
2024-01-01 16:00:00,3800.0
2024-01-01 17:00:00,4000.0
2024-01-01 18:00:00,3500.0
2024-01-01 19:00:00,2800.0
2024-01-01 20:00:00,2000.0
2024-01-01 21:00:00,1200.0
2024-01-01 22:00:00,500.0
2024-01-01 23:00:00,200.0
